8.5,0,1,0,0
9.5,1,0,0,1
10.5,0,1,0,1
11.5,1,0,0,1
12.5,0,1,0,0
13.5,1,0,0,1
14.5,0,1,0,1
15.5,1,0,0,1
16.5,0,1,0,0
17.5,1,0,0,1
18.5,0,1,0,1
19.5,1,0,0,1
20,1,0,0,0
20.5,0,0,0,1
21,0,1,0,0
21.5,0,0,1,0
22,1,0,0,1
22.5,0,1,1,0
23.5,0,2,2,0
24,0,3,3,0
24.5,2,0,0,0
25,3,0,0,0
25.5,0,2,0,0
26,0,3,0,0
26.5,1,0,0,0
27,0,1,0,0
27.5,0,0,1,0
28,0,0,0,1
28.5,0,0,0,2
29,0,0,0,3
29.5,0,0,2,0
30,0,0,3,0
30.5,0,0,0,1
31,0,0,1,0
31.5,0,1,0,0
32,1,0,0,0
32.5,2,0,0,2
33,3,0,0,3
33.5,0,2,2,0
34,0,3,3,0
34.5,1,0,0,0
35,0,0,0,1
35.5,0,1,0,0
36,0,0,1,0
36.5,1,0,0,0
37,0,1,0,0
37.5,0,0,0,1
38,0,0,1,0
38.5,2,0,0,2
39,3,0,0,3
39.5,0,0,1,0
40.5,1,0,0,0
41,0,1,0,0
41.5,1,0,0,0
41.75,0,1,0,0
42,0,0,1,0
42.25,0,0,0,1
42.5,0,0,1,0
43,1,0,0,0
43.5,0,1,0,0
44,1,0,0,0
44.5,1,0,0,0
45,0,1,0,0
45.5,1,0,0,0
45.75,0,1,0,0
46,0,0,1,0
46.25,0,0,0,1
46.5,0,0,1,0
47,1,0,0,0
47.5,0,1,0,0
48,1,0,0,0
48.5,1,0,0,0
49,0,1,0,0
49.5,1,0,0,0
49.75,0,1,0,0
50,0,0,1,0
50.25,0,0,0,1
50.5,0,0,1,0
51,1,0,0,0
51.5,0,1,0,0
52,1,0,0,0
52.5,0,0,0,1
53,0,0,1,0
53.5,0,0,0,1
54,0,0,1,0
54.5,2,2,0,0
55,3,3,0,0
55.5,1,1,0,0
56.5,2,0,0,0
57,3,0,0,0
57.5,0,2,0,0
58,0,3,0,0
58.5,1,0,0,0
59,0,1,0,0
59.5,0,0,1,0
60,0,0,0,1
60.5,0,0,0,2
61,0,0,0,3
61.5,0,0,2,0
62,0,0,3,0
62.5,0,0,0,1
63,0,0,1,0
63.5,0,1,0,0
64,1,0,0,0
64.5,2,0,0,2
65,3,0,0,3
65.5,0,2,2,0
66,0,3,3,0
66.5,1,0,0,0
67,0,0,0,1
67.5,0,1,0,0
68,0,0,1,0
68.5,1,0,0,0
69,0,1,0,0
69.5,0,0,0,1
70,0,0,1,0
70.5,2,0,0,2
71,3,0,0,3
71.5,0,0,1,0
72.5,1,0,0,0
72.75,0,1,0,0
73,1,0,0,0
73.25,0,1,0,0
73.5,1,0,0,0
74.5,0,0,2,0
75,0,0,3,0
75.5,0,0,0,2
76,0,0,0,3
76.5,0,0,0,1
76.75,0,0,1,0
77,0,0,0,1
77.25,0,0,1,0
77.5,0,0,0,1
78.5,0,2,0,0
79,0,3,0,0
79.5,2,0,0,0
80,3,0,0,0
80.5,1,0,0,0
80.75,0,1,0,0
81,1,0,0,0
81.25,0,1,0,0
81.5,1,0,0,0
82.5,0,0,2,0
83,0,0,3,0
83.5,0,0,0,2
84,0,0,0,3
84.5,0,0,0,1
85,0,0,1,0
85.5,0,0,0,1
86,0,0,1,0
86.5,2,2,0,0
87,3,3,0,0
87.5,1,1,0,0
88.5,2,0,0,0
89,3,0,0,0
89.5,0,2,0,0
90,0,3,0,0
90.5,1,0,0,0
91,0,1,0,0
91.5,0,0,1,0
92,0,0,0,1
92.5,0,0,0,2
93,0,0,0,3
93.5,0,0,2,0
94,0,0,3,0
94.5,0,0,0,1
95,0,0,1,0
95.5,0,1,0,0
96,1,0,0,0
96.5,2,0,0,2
97,3,0,0,3
97.5,0,2,2,0
98,0,3,3,0
98.5,1,0,0,0
99,0,0,0,1
99.5,0,1,0,0
100,0,0,1,0
100.5,1,0,0,0
101,0,1,0,0
101.5,0,0,0,1
102,0,0,1,0
102.5,2,0,0,2
103,3,0,0,3
103.5,0,0,1,0
104.5,2,0,0,0
105.5,3,0,1,0
106.5,0,2,0,0
107.5,0,3,0,1
108.5,0,0,0,2
109.5,0,1,0,3
110.5,0,0,2,0
111.5,1,0,3,0
112.5,2,0,2,0
113.5,3,1,3,1
114.5,0,2,0,2
115.5,1,3,1,3
116.5,0,2,2,0
117.5,1,3,3,1
118.5,2,0,0,2
119.5,3,1,1,3
